# Table 2 from Rezaeian et al. (2014), period independent rotation
#period,b0,b1,b2,b3,b4,b5,b6,b7,b8,a0,a1
0.01,3.01E-03,2.78E-03,-1.52E-03,-3.17E-04,-2.43E-04,1.55E-04,-9.93E-04,5.77E-04,-1.98E-04,-2.43E-02,-1.37E-03
0.02,6.10E-02,-3.83E-02,1.85E-03,-4.92E-03,3.20E-03,-2.58E-04,-5.43E-03,2.98E-03,5.81E-05,-3.21E-02,1.64E-04
0.03,1.22E-01,-6.98E-02,-2.11E-03,-3.36E-03,3.48E-04,8.94E-04,-1.33E-02,7.75E-03,1.56E-04,-5.48E-02,3.34E-03
0.05,2.34E-01,-9.75E-02,-2.74E-02,-4.11E-04,-8.08E-03,5.03E-03,-1.79E-02,8.12E-03,1.48E-03,-9.45E-02,9.22E-04
0.075,3.00E-01,-6.77E-02,-7.37E-02,-5.64E-04,-1.61E-02,1.03E-02,3.11E-05,-6.23E-03,4.00E-03,-1.20E-01,-6.18E-03
0.1,2.54E-01,1.55E-02,-1.08E-01,7.09E-03,-2.54E-02,1.34E-02,2.24E-02,-2.32E-02,5.59E-03,-1.22E-01,-1.04E-02
0.15,1.49E-01,9.41E-02,-1.17E-01,2.77E-02,-3.88E-02,1.37E-02,2.97E-02,-2.39E-02,3.29E-03,-1.14E-01,-1.08E-02
0.2,2.57E-02,1.54E-01,-1.11E-01,4.76E-02,-4.73E-02,1.18E-02,3.20E-02,-2.38E-02,2.49E-03,-1.07E-01,-8.14E-03
0.25,7.91E-03,1.50E-01,-9.77E-02,5.14E-02,-4.60E-02,9.24E-03,2.98E-02,-2.22E-02,1.79E-03,-1.03E-01,-6.91E-03
0.3,-1.32E-02,1.39E-01,-8.50E-02,5.05E-02,-4.13E-02,6.75E-03,3.69E-02,-2.55E-02,1.59E-03,-1.01E-01,-6.37E-03
0.4,4.02E-02,8.04E-02,-6.86E-02,4.39E-02,-3.31E-02,4.32E-03,3.14E-02,-1.99E-02,-1.26E-04,-1.01E-01,-6.38E-03
0.5,4.76E-02,6.49E-02,-5.60E-02,3.83E-02,-2.72E-02,1.87E-03,3.89E-02,-2.50E-02,3.41E-04,-1.01E-01,-6.61E-03
0.75,1.93E-02,4.86E-02,-3.90E-02,4.16E-02,-2.20E-02,-2.40E-03,3.46E-02,-2.58E-02,3.26E-03,-1.02E-01,-6.23E-03
1,-6.40E-02,8.34E-02,-2.47E-02,4.64E-02,-2.24E-02,-4.30E-03,4.63E-02,-3.28E-02,2.49E-03,-1.03E-01,-6.82E-03
1.5,-1.52E-01,8.58E-02,5.17E-03,5.63E-02,-2.21E-02,-8.06E-03,4.76E-02,-3.17E-02,1.65E-03,-1.02E-01,-8.91E-03
2,-2.61E-01,1.38E-01,1.85E-02,6.94E-02,-2.85E-02,-9.59E-03,4.61E-02,-2.97E-02,6.49E-04,-1.04E-01,-8.98E-03
3,-3.65E-01,1.71E-01,3.48E-02,7.88E-02,-3.34E-02,-9.86E-03,4.86E-02,-2.33E-02,-4.26E-03,-9.84E-02,-1.05E-02
4,-4.38E-01,1.97E-01,4.19E-02,8.53E-02,-3.43E-02,-1.11E-02,4.91E-02,-2.31E-02,-4.36E-03,-9.85E-02,-1.22E-02
5,-4.97E-01,2.21E-01,5.20E-02,8.98E-02,-3.59E-02,-1.23E-02,4.93E-02,-2.07E-02,-6.11E-03,-9.60E-02,-1.45E-02
7.5,-5.05E-01,1.89E-01,7.36E-02,9.27E-02,-3.33E-02,-1.48E-02,3.22E-02,-7.26E-03,-7.98E-03,-9.21E-02,-1.53E-02
10,-3.98E-01,1.41E-01,5.92E-02,7.22E-02,-2.26E-02,-1.31E-02,2.29E-02,-7.35E-03,-4.33E-03,-7.23E-02,-1.19E-02
